1948 年 (戊子，八十五岁),杭州,黄宾虹,王伯尹、夏承焘,社交 / 闲谈,11 月 20 日王伯尹偕夏承焘来访，闲谈见闻、书画，原定同游西溪未果,《夏承焘集・天风阁学词日记》,不详,,,,,,,
1948 年 (戊子，杭州),黄宾虹,艺专全体教员,生活 / 维权,11 月 26 日起因薪金冻结、生活困顿，国立艺专全体教授集体请假,1948 年 12 月 1 日《东南日报》,不详,,,,,,,,
1948 年 (戊子，八十五岁),杭州,黄宾虹,汪世清,书信 / 交流,11 月底收到汪世清来信，二人交流治学、书画相关事宜,往来书信,不详,,,,,,,
1948 年 (戊子，八十五岁),杭州,黄宾虹,王伯尹、夏承焘等,观藏 / 交游,12 月 2 日与王伯尹、夏承焘等人同往高野侯宅邸观书画，后走访章劲宇,《夏承焘集・天风阁学词日记》,不详,,,,,,,
1948 年 (戊子，八十五岁),杭州,黄宾虹,侯士泰,书信 / 观画,12 月欧洲画商侯士泰多次来信，希望登门观赏其所藏方小师山水,往来书信,不详,,,,,,,
1948 年 (戊子，八十五岁),杭州,黄宾虹,汪日章,书信 / 索画,12 月 16 日汪日章受之江大学校长等人委托，致信代为求画,往来书信,不详,,,,,,,
1948 年 (戊子，八十五岁),杭州,黄宾虹,友人,构想 / 筹备,年末计划联合友人创办艺术研究会，拟定西湖文艺美术馆筹备简章,《西湖文艺美术馆简章》,不详,,,,,,,
1948 年 (戊子，八十五岁),上海,黄宾虹,庞薰琹,邀约 / 参展,12 月收到义利画廊公函，受邀参展，该画廊于当月正式开业,画廊公函,不详,,,,,,,
1948 年 (戊子，八十五岁),杭州,黄宾虹,王伯尹、夏承焘,论学 / 闲谈,12 月 28 日王伯尹、夏承焘来访，探讨老庄思想与绘画的关联,《夏承焘集・天风阁学词日记》,不详,,,,,,,
1948 年 (戊子，八十五岁),杭州,黄宾虹,刘作筹,艺术 / 创作,为刘作筹创作《江南春树图》并题诗酬答其怀友诗作,自作题跋、刘作筹诗作,不详,,,,,,,
1948 年 (戊子，八十五岁),浙江金华,黄宾虹,亲属,家事 / 悼亡,本年四弟黄晋新病逝，致信亲友抒发手足离世的悲痛,往来书信,不详,,,,,,,
1948 年 (戊子，八十五岁),杭州,黄宾虹,陈邦福,艺术 / 创作,本年为陈邦福创作《平沙秋树》画作并题识,西泠印社出版物,不详,,,,,,,
1949 年 (己丑，八十六岁),杭州,黄宾虹,浙江省美术界,参展 / 观展,元旦出席浙江省第一次全省美术展览会，作品参展，展会刊行纪念特刊,手写杂记,不详,,,,,,,
1949 年 (己丑，八十六岁),杭州,黄宾虹,夏承焘,社交 / 闲谈,1 月 4 日夏承焘来访，二人闲谈过往经历；1 月 5 日夏承焘偕冯振心夫妇再度到访,《夏承焘集・天风阁学词日记》,不详,,,,,,,
1949 年 (己丑，八十六岁),杭州,黄宾虹,刘作筹、苏乾英,书信 / 刊印,1 月收到苏乾英来信，刘作筹等人计划集资为其刊印画集,往来书信,不详,,,,,,,
1949 年 (己丑，八十六岁),杭州,黄宾虹,显贵人士,操守 / 拒画,虽生活拮据，仍拒绝重金求画的显贵人士，坚守本心,往来书信,不详,,,,,,,
1949 年 (己丑，八十六岁),杭州,黄宾虹,姚锡钧,社交 / 探访,戊子腊月姚锡钧前来拜访，赋诗记录相见场景,姚锡钧《湖上杂诗》,不详,,,,,,,
1949 年 (己丑，八十六岁),杭州,黄宾虹,张海清,书信 / 鉴藏,1 月 21 日收到张海清来信，对方寄送古印拓片，请求鉴定并索求书画,往来书信,不详,,,,,,,
1949 年 (己丑，八十六岁),浙江杭州,黄宾虹,张海清,书信 / 鉴藏,元月二十二日收到张海清来信，对方寄送印拓、宣纸，请求鉴定古玺并索求书画、照片，二人交流金石鉴赏心得,往来书信,不详,,,,,,,
1949 年 (己丑，八十六岁),浙江杭州,黄宾虹,舒国华,题跋 / 交游,春季为舒国华辑《金华北山古诗选》作跋，二人常结伴出游、赏画论诗,刘俭《舒国华与黄宾虹》、《湖州日报》,不详,,,,,,,
1949 年 (己丑，八十六岁),浙江杭州灵峰,黄宾虹,舒国华,艺术 / 创作,春季应舒国华邀约同游灵峰观梅，归来创作《梅竹双清图》并题诗相赠,自作题跋,不详,,,,,,,
1949 年 (己丑，八十六岁),浙江杭州,黄宾虹,张书旂,书信 / 交流,2 月张书旂自海外返杭写生，来信征集画作用于海外画展，二人互通艺术相关事宜,《民报》、往来书信,不详,,,,,,,
1949 年 (己丑，八十六岁),浙江杭州,黄宾虹,黄萍荪,约稿 / 交往,春季《子曰丛刊》主编黄萍荪自上海来访约稿，二人畅谈文艺发展现状,澹庐《艺舟前记》、《子曰丛刊》第六辑,不详,,,,,,,
1949 年 (己丑，八十六岁),浙江杭州,黄宾虹,瞿宣颖,社交 / 来访,春季瞿宣颖冒雨到访寓中，二人相聚闲谈,瞿宣颖诗作、浙江省博物馆藏资料,不详,,,,,,,
1949 年 (己丑，八十六岁),浙江杭州,黄宾虹,姚鹓雏,书信 / 酬答,2 月 12 日收到姚鹓雏来信，对方致谢并赋诗答谢赠《梅竹图》,往来书信,不详,,,,,,,
1949 年 (己丑，八十六岁),浙江杭州,黄宾虹,夏承焘,闲谈 / 论人,2 月 27 日夏承焘来访，二人畅谈历代画家品行、画技与作画诀窍,《夏承焘集・天风阁学词日记》,不详,,,,,,,
1949 年 (己丑，八十六岁),浙江杭州,黄宾虹,陈光汉 (雁迅),艺术 / 创作,应陈光汉请求，为其母六十大寿绘制《慈竹平安馆图》,自作题跋,不详,,,,,,,
1949 年 (己丑，八十六岁),浙江杭州,黄宾虹,王伯敏,书信 / 问候,3 月 9 日王伯敏久未收到回信，再次来信问候询问近况,往来书信,不详,,,,,,,
1949 年 (己丑，八十六岁),浙江杭州,黄宾虹,白蕉,书信 / 画论,本月《名家书简》影印致白蕉书信，二人探讨花卉、简笔与细笔的创作要义,《名家书简》,不详,,,,,,,
1949 年 (己丑，八十六岁),浙江杭州,黄宾虹,王伯尹,艺术 / 创作,己丑二月马一浮举办雅集，应王伯尹请求绘制《玄亭修禊图》,自作题跋、沙孟海题跋,不详,,,,,,,
1949 年 (己丑，八十六岁),浙江杭州,黄宾虹,夏承焘,观藏 / 交流,3 月 20 日夏承焘来访，一同观赏书画、藏品，品评人物与见闻,《夏承焘集・天风阁学词日记》,不详,,,,,,,
1949 年 (己丑，八十六岁),上海,黄宾虹,各界参展画家,参展 / 创作,4 月 15 日参加上海市美术馆筹备处第一届春季美术展览会,1949 年 4 月 17 日《申报》,不详,,,,,,,
1949 年 (己丑，八十六岁),浙江杭州,黄宾虹,黄羲,书信 / 求教,4 月 20 日收到黄羲来信，对方得知其南返，寄习作前来请教画艺,往来书信,不详,,,,,,,
1949 年 (己丑，八十六岁),浙江杭州,黄宾虹,无,记事 / 见闻,5 月 3 日杭州解放，随手记录相关见闻,手写杂记,不详,,,,,,,
1949 年 (己丑，八十六岁),浙江杭州,黄宾虹,无,悼念 / 记事,6 月好友余绍宋病逝，记此事,原文文档,不详,,,,,,,
1949 年 (己丑，八十六岁),浙江杭州,黄宾虹,方懿枚,书信 / 叙旧,7 月 18 日收到方懿枚来信，对方追忆昔日受教经历，倾诉思念之情,往来书信,不详,,,,,,,
1949 年 (己丑，八十六岁),浙江杭州,黄宾虹,江印舸,艺术 / 创作,夏季题画扇赠予江印舸，题诗追忆古迹与过往见闻,西泠印社 2006 年秋拍图录,不详,,,,,,,
1949 年 (己丑，八十六岁),浙江杭州,黄宾虹,刘开渠、倪贻德、江丰,任职 / 受聘,8 月 1 日被国立艺术专科学校续聘为教授，任期一年，校方出具正式聘书,国立艺专聘书,不详,,,,,,,
1949 年 (己丑，八十六岁),浙江杭州,黄宾虹,地方各界,公职 / 推选,8 月 5 日被杭州市人民政府推选为杭州市各界人民代表会议代表,会议请柬,不详,,,,,,,
1949 年 (己丑，八十六岁),浙江杭州,黄宾虹,舒国华,书信 / 索画,秋季收到舒国华来信，对方讲述耕读生活，请求绘制《耕读图》,往来书信,不详,,,,,,,
1949 年 (己丑，八十六岁),浙江杭州,黄宾虹,金祖同、郭若愚,鉴藏 / 交往,秋季金祖同、郭若愚自沪来访，一同品鉴、拓印古玺，后作《红梅青竹图》赠予郭若愚,郭若愚《落英缤纷 —— 师友忆念录》,不详,,,,,,,
1949 年 (己丑，八十六岁),全国,黄宾虹,全国民众,纪事 / 节庆,10 月 1 日中华人民共和国成立，记录时代新貌,原文文档,不详,,,,,,,
1949 年 (己丑，八十六岁),浙江杭州,黄宾虹,美术界同仁,会务 / 改革,10 月 12 日起杭州市美术工作者协会开展会员登记，艺专推行美术教育改革,1949 年 10 月 14 日《浙江日报》,不详,,,,,,,
1949 年 (己丑，八十六岁),浙江杭州,黄宾虹,朱屺瞻、钱铸九,书信 / 邀约,10 月收到朱屺瞻、钱铸九等人来信，受邀担任中华新美术教育社发起人,往来书信,不详,,,,,,,
1949 年 (己丑，八十六岁),浙江杭州,黄宾虹,陈中凡,书信 / 酬答,11 月先后与陈中凡互通书信，作画相赠，畅谈游历与艺事,往来书信,不详,,,,,,,
1949 年 (己丑，八十六岁),浙江杭州,黄宾虹,夏承焘,艺术 / 创作,冬季为夏承焘绘制《月轮楼校词图》，夏承焘为此填词纪念,夏承焘词作,不详,,,,,,,
1949 年 (己丑，八十六岁),浙江杭州,黄宾虹,陶广,艺术 / 创作,冬日陶广迁居西泠，作《丰谿》山水横卷相赠并题诗,《冰上鸿飞・黄宾虹书画集》,不详,,,,,,,
1949 年 (己丑，八十六岁),浙江杭州,黄宾虹,严小厂,书法 / 创作,为严小厂书写篆联，品评其篆刻与文辞,自作题跋,不详,,,,,,,
1950 年 (庚寅，八十七岁),浙江杭州,黄宾虹,夏承焘,交往 / 交流,1 月 2 日夏承焘来访，赠予词作与书籍，二人谈及多位文人轶事,《夏承焘集・天风阁学词日记》,不详,,,,,,,
1950 年 (庚寅，八十七岁),浙江杭州,黄宾虹,熊十力、于右任,书信 / 闲谈,1 月 18 日收到熊十力来信，与夏承焘闲谈，追忆于右任、吴趼人旧事,《夏承焘集・天风阁学词日记》,不详,,,,,,,
1950 年 (庚寅，八十七岁),浙江杭州,黄宾虹,苏乾英,书信 / 钱款,1 月 27 日苏乾英因铁路事故未能如期赴杭，先汇部分画款过年，详述钱款兑换情况,往来书信,不详,,,,,,,
1950 年 (庚寅，八十七岁),浙江杭州,黄宾虹,夏承焘,画论 / 探讨,1 月 29 日与夏承焘探讨中西绘画差异，解读中国画含蓄的艺术特质,《夏承焘集・天风阁学词日记》,不详,,,,,,,
1950 年 (庚寅，八十七岁),浙江杭州,黄宾虹,黄居素,书信 / 问候,2 月 2 日收到黄居素来信，互通近况，畅谈友人行踪与收藏事宜,往来书信,不详,,,,,,,
1950 年 (庚寅，八十七岁),浙江杭州,黄宾虹,夏承焘,书法 / 馈赠,2 月 7 日赠予夏承焘篆联，二人交流书画装裱相关事宜,《夏承焘集・天风阁学词日记》,不详,,,,,,,
1950 年 (庚寅，八十七岁),浙江杭州,黄宾虹,夏承焘,自述 / 构想,此间向夏承焘提及计划编撰个人年谱，考证夏禹相关史事,《夏承焘集・天风阁学词日记》,不详,,,,,,,
1950 年 (庚寅，八十七岁),浙江杭州,黄宾虹,陈光汉,艺术 / 索画,陈光汉先后致信，请求绘制《补学轩图》《悔补轩读书图》,往来书信,不详,,,,,,,
1950 年 (庚寅，八十七岁),浙江杭州,黄宾虹,夏承焘,题跋 / 转交,2 月 18 日夏承焘来访，转交瞿宣颖所作题跋，二人交流品鉴,《夏承焘集・天风阁学词日记》,不详,,,,,,,
1950 年 (庚寅，八十七岁),浙江杭州,黄宾虹,夏承焘,画技 / 传授,3 月 6 日与夏承焘畅谈学画经历，讲解蘸墨运笔的正确方法,《夏承焘集・天风阁学词日记》,不详,,,,,,,
1950 年 (庚寅，八十七岁),浙江杭州,黄宾虹,陈叔通,书信 / 索画,4 月 8 日收到陈叔通来信，对方问候近况并索要画作,往来书信,不详,,,,,,,
1950 年 (庚寅，八十七岁),浙江杭州,黄宾虹,许文通夫妇,社交 / 赏藏,4 月 10 日夏承焘陪同许文通夫妇来访，一同观赏历代书画藏品,《夏承焘集・天风阁学词日记》,不详,,,,,,,
1950 年 (庚寅，八十七岁),浙江杭州,黄宾虹,夏承焘,艺术 / 馈赠,6 月 10 日赠予夏承焘《谢邻图》，一同品鉴贵州红崖刻石拓本,《夏承焘集・天风阁学词日记》,不详,,,,,,,
1950 年 (庚寅，八十七岁),浙江杭州,黄宾虹,龙榆生,艺术 / 创作,6 月为龙榆生绘制《晓望图》，二人多次书信往来，深入探讨画学源流,自作题跋、往来书信,不详,,,,,,,
1950 年 (庚寅，八十七岁),浙江杭州,黄宾虹,校方,任职 / 调整,7 月 15 日收到校方函件，被列为暂不任课教员，仅开展业务研究与学习,国立艺专函件,不详,,,,,,,
1950 年 (庚寅，八十七岁),浙江等地,黄宾虹,卓自浩,书信 / 近况,夏季拟北上未果，致信卓自浩，谈及血压偏高、外界对传统绘画的偏见,往来书信,不详,,,,,,,
1950 年 (庚寅，八十七岁),浙江杭州,黄宾虹,各界代表,会议 / 发言,8 月出席浙江省第一届各界人民代表会议，发言主张传承并创新传统绘画,会议发言稿,不详,,,,,,,
1950 年 (庚寅，八十七岁),浙江杭州,黄宾虹,夏承焘,画论 / 闲谈,8 月起夏承焘多次来访，二人探讨元人用墨、书画笔法等诸多画学问题,《夏承焘集・天风阁学词日记》,不详,,,,,,,
1950 年 (庚寅，八十七岁),浙江杭州,黄宾虹,李济深,书信 / 反馈,9 月 13 日李济深复信，告知已向相关部门反映其生活困难问题,往来书信,不详,,,,,,,
1950 年 (庚寅，八十七岁),浙江瑞安,黄宾虹,王伯敏,书信 / 求教,9 月 15 日王伯敏自瑞安来信，问候并请求指点中国画理论,往来书信,不详,,,,,,,
1950 年 (庚寅，八十七岁),浙江杭州,黄宾虹,陈中凡,书信 / 索画,10 月 17 日陈中凡代徐平羽来信，请求小幅书画作品,往来书信,不详,,,,,,,
1950 年 (庚寅，八十七岁),浙江杭州,黄宾虹,夏承焘,借阅 / 交流,11 月夏承焘多次来访，借阅典籍，品鉴书画藏品,《夏承焘集・天风阁学词日记》,不详,,,,,,,
1950 年 (庚寅，八十七岁),浙江杭州,黄宾虹,夏承焘,闲谈 / 画理,12 月 24 日夏承焘来访，二人谈论唐代绘画用料变迁与文艺发展规律,《夏承焘集・天风阁学词日记》,不详,,,,,,,
1950 年 (庚寅，八十七岁),浙江杭州,黄宾虹,陶广、邵章,贺辞 / 联名,李济深六十六岁寿辰，与陶广、邵章联名撰写贺辞,祝寿文稿,不详,,,,,,,
1950 年 (庚寅，八十七岁),浙江杭州,黄宾虹,陈邦福,艺术 / 创作,冬日为陈邦福创作设色山水画作,自作题跋,不详,,,,,,,
1950 年 (庚寅，八十七岁),浙江杭州,黄宾虹,无,题跋 / 考据,冬日为敦煌《鸣沙石室古遗经》题写跋文，考证年代与文字,故宫博物院藏品题跋,不详,,,,,,,
1950 年 (庚寅，八十七岁),浙江杭州,黄宾虹,陆小曼,艺术 / 创作,本年为陆小曼绘制画扇并题跋,扇面题跋,不详,,,,,,,
1950 年 (庚寅，八十七岁),浙江杭州,黄宾虹,燕山棋社,艺术 / 创作,本年为燕山棋社作画，以棋理喻画理,自作题跋,不详,,,,,,,
1951 年 (辛卯，八十八岁),浙江杭州,黄宾虹,黄独峰、谢海燕,书信 / 参展,1 月岭南画家黄独峰计划赴港澳办展，经谢海燕介绍前来征集画作,往来书信,不详,,,,,,,
1951 年 (辛卯，八十八岁),浙江杭州,黄宾虹,夏承焘、商承祚,书信 / 考据,1 月 15 日夏承焘转交商承祚来信，众人探讨古玺、夏禹相关考据问题,《夏承焘集・天风阁学词日记》、往来书信,不详,,,,,,,
1951 年 (辛卯，八十八岁),香港、澳门,黄宾虹,张虹,书信 / 交流,新春收到张虹来信，回信谈及作画状态、宣纸用料与艺术感悟,往来书信,不详,,,,,,,
1951 年 (辛卯，八十八岁),浙江杭州,黄宾虹,秦曼青,艺术 / 创作,初春为秦曼青创作《岁朝图》,自作题跋,不详,,,,,,,
无,黄宾虹,高剑父,悼念 / 记事,3 月画家高剑父逝世，记录此事,原文文档,不详,,,,,,,,
1951 年 (辛卯，八十八岁),浙江杭州,黄宾虹,邹安后人,鉴藏 / 收购,三四月间迁居栖霞岭三十二号，购入邹安旧藏秦汉古器四箱,《夏承焘集・天风阁学词日记》,不详,,,,,,,
1951 年 (辛卯，八十八岁),浙江杭州,黄宾虹,张虹,书信 / 赠物,迁居后致信张虹，赠送古玉拓本与画作,往来书信,不详,,,,,,,
1951 年 (辛卯，八十八岁),浙江杭州,黄宾虹,过旭初,书信 / 叮嘱,致信过旭初，叮嘱勿以琐事打扰李济深、陈叔通等国家领导人,往来书信,不详,,,,,,,
1951 年 (辛卯，八十八岁),浙江杭州,黄宾虹,夏承焘,书法 / 交流,4 月书写集古籀文楹联十余副，与夏承焘一同品评选取,《夏承焘集・天风阁学词日记》,不详,,,,,,,
1951 年 (辛卯，八十八岁),浙江杭州,黄宾虹,黄树滋、王任之,书信 / 归乡,受思潮影响，萌生返乡念头，致信族人询问歙县故里情况,往来书信、相关回忆资料,不详,,,,,,,
1951 年 (辛卯，八十八岁),浙江杭州,黄宾虹,林碧筠,艺术 / 创作,此间为林碧筠创作山水册页并题跋,自作题跋、海外藏品资料,不详,,,,,,,
1951 年 (辛卯，八十八岁),浙江杭州,黄宾虹,校方,任职 / 续聘,8 月 1 日被中央美术学院华东分校续聘为教授,华东分校聘书,不详,,,,,,,
1951 年 (辛卯，八十八岁),浙江杭州,黄宾虹,沙孟海,题序 / 交往,8 月 2 日沙孟海来访，受邀为《沙邨印话》作序,《夏承焘集・天风阁学词日记》、题跋文稿,不详,,,,,,,
1951 年 (辛卯，八十八岁),浙江杭州,傅雷,邓实,悼念 / 传讯,9 月 14 日邓实病逝，傅雷致信代为转告噩耗,往来书信,不详,,,,,,,
1951 年 (辛卯，八十八岁),浙江杭州,各界代表,会议 / 参会,10 月 9 日至 10 日参加浙江省第一次抗美援朝代表会议,会议请柬,不详,,,,,,,,
1951 年 (辛卯，八十八岁),浙江杭州、北京,黄宾虹,宋文彬,出行 / 参会,10 月 13 日自杭州启程赴北京列席全国政协会议，途中与宋文彬同车，畅谈考古、历史，自述一生不争名利、豁达养生的处世理念,《宋文彬日记：红尘冷眼 —— 一个文化名人笔下的三十年》,不详,,,,,,,
1951 年 (辛卯，八十八岁),北京,黄宾虹,毛泽东、周恩来,会议 / 会见,10 月 23 日以社会人士身份列席全国政协一届三次会议，为参会年长者，会后与毛泽东主席、周恩来总理亲切交谈,1951 年 10 月 24 日《人民日报》、《夏承焘集・天风阁学词日记》,不详,,,,,,,
1951 年 (辛卯，八十八岁),北京,黄宾虹,吴鸣,书信 / 告知,10 月 28 日致信吴鸣，说明赴京参会滞留多日，待返杭后再寄送画作,往来书信,不详,,,,,,,
1951 年 (辛卯，八十八岁),北京,黄宾虹,周恩来,艺术 / 创作,为周恩来总理作画并题款落款,自作题跋,不详,,,,,,,
1951 年 (辛卯，八十八岁),北京,黄宾虹,无,观展 / 感悟,参会期间参观古今名画展，推崇清代道咸时期画家一扫前人陋习的艺术风格,自作题跋,不详,,,,,,,
1951 年 (辛卯，八十八岁),北京,黄宾虹,金梁、武志平,社交 / 雅集,离京前，受金梁、武志平邀约在中山公园来今雨轩赴宴，席间品鉴古印、古玉等文物,金息侯诗文及题跋,不详,,,,,,,
1951 年 (辛卯，八十八岁),北京,黄宾虹,陈铭枢、李济深、陈叔通、何香凝、卞孝萱,社交 / 交往,留京一月，与陈铭枢同住，会晤李济深、陈叔通、何香凝、卞孝萱等旧友，与卞孝萱交流文史、印谱相关内容,往来书信,不详,,,,,,,
1951 年 (辛卯，八十八岁),上海,黄宾虹,傅雷,社交 / 探访,返程途经上海，专程拜访傅雷,原文文档,不详,,,,,,,
1951 年 (辛卯，八十八岁),浙江杭州,黄宾虹,张虹,书信 / 索题,11 月 10 日收到张虹来信，对方请求惠赐画作，并请为旧藏杨邦基山水卷题跋,往来书信,不详,,,,,,,
1951 年 (辛卯，八十八岁),浙江杭州,黄宾虹,王任之,书信 / 题字,11 月 18 日收到歙县各界人士王任之来函，受邀为歙县革命纪念碑题写碑文,浙江省博物馆藏往来书信,不详,,,,,,,
1951 年 (辛卯，八十八岁),浙江杭州,黄宾虹,无,艺术 / 创作,冬季利用北京所得古纸，创作《湖山爽气图》长卷、《嘉陵江山水》小幅,自作题跋、嘉德 2004 年春拍图录,不详,,,,,,,
1951 年 (辛卯，八十八岁),浙江杭州,黄宾虹,刘作筹,艺术 / 创作,冬季以旧京古纸、古墨创作《临安山色图》卷并题跋,自作题跋,不详,,,,,,,
1951 年 (辛卯，八十八岁),浙江杭州,黄宾虹,陈景昭,艺术 / 创作,本年为陈景昭创作设色山水，题跋阐述倪瓒、黄公望画作的艺术意境,香港苏富比 2004 年秋拍图录,不详,,,,,,,
1951 年 (辛卯，八十八岁),浙江杭州,黄宾虹,去病,艺术 / 创作,本年为去病绘制十二开纪游画册，并长篇题跋论画理,私人藏品题跋,不详,,,,,,,
1952 年 (壬辰，八十九岁),浙江杭州,黄宾虹,白蕉,鉴藏 / 书信,1 月 6 日收到白蕉来信，请其鉴别商器玉圭拓片，回信辨析文字、判定真伪，二人持续书信交流书画、考据,往来书信,不详,,,,,,,
1952 年 (壬辰，八十九岁),浙江杭州,黄宾虹,无,文论 / 构思,1 月拟撰写文章，推崇道咸画学复兴，提出诗文书画不必刻意求全方具意趣,《夏承焘集・天风阁学词日记》,不详,,,,,,,
1952 年 (壬辰，八十九岁),浙江杭州,黄宾虹,路大荒,书信 / 索画,1 月 31 日收到路大荒来信，恳请绘制《访古图》,往来书信,不详,,,,,,,
1952 年 (壬辰，八十九岁),浙江杭州,黄宾虹,陈叔通,书信 / 交往,2 月 3 日收到陈叔通回信，对方收到贺年画作并相约来年赴京祝寿,往来书信,不详,,,,,,,
1952 年 (壬辰，八十九岁),浙江杭州,黄宾虹,夏承焘,艺术 / 馈赠,2 月 6 日赠予夏承焘山水小品六帧，二人闲谈书画旧事,《夏承焘集・天风阁学词日记》,不详,,,,,,,
1952 年 (壬辰，八十九岁),浙江杭州,黄宾虹,夏承焘,文稿 / 整理,夏承焘劝说黄宾虹重新修订旧作《古画微》，其存有大量未整理文稿,《夏承焘集・天风阁学词日记》,不详,,,,,,,
1952 年 (壬辰，八十九岁),浙江杭州,黄宾虹,陈中凡,书信 / 致谢,2 月 28 日收到陈中凡来信，对方致谢赠画，并交流考古、书画相关见解,往来书信,不详,,,,,,,
1952 年 (壬辰，八十九岁),浙江杭州,黄宾虹,陈叔通、邵力子,社交 / 来访,2 月陈叔通偕邵力子到访寓中，二人相互谦让称谓，谈及书画题款事宜,宋若婴《黄宾虹回忆录》,不详,,,,,,,
1952 年 (壬辰，八十九岁),浙江杭州,黄宾虹,夏承焘,观藏 / 交流,3 月 5 日夏承焘来访，一同观赏新得林则徐画作，品评石涛作品,《夏承焘集・天风阁学词日记》,不详,,,,,,,
1952 年 (壬辰，八十九岁),浙江杭州,黄宾虹,夏承焘、王西彦,社交 / 闲谈,4 月 5 日夏承焘、王西彦到访，二人闲谈书画琐事,《夏承焘集・天风阁学词日记》,不详,,,,,,,
1952 年 (壬辰，八十九岁),浙江杭州,黄宾虹,卓自浩,艺术 / 创作,4 月初应卓自浩请求创作简笔山水，往来书信沟通画作事宜,往来书信、石谷风藏品,不详,,,,,,,
1952 年 (壬辰，八十九岁),浙江杭州,黄宾虹,朱砚英,讲学 / 笔录,初春邀约朱砚英来杭小住，平日谈论画理由其笔录，成《虹庐画谈》一书,往来书信、《虹庐画谈》,不详,,,,,,,
1952 年 (壬辰，八十九岁),浙江杭州,黄宾虹,商承祚,题跋 / 书信,6 月起多次收到商承祚来信，受邀为王阳明《驄马归朝诗叙》卷题字、撰写题跋,往来书信,不详,,,,,,,
1952 年 (壬辰，八十九岁),浙江杭州,黄宾虹,黄居素、吴鸣,艺术 / 创作,眼疾加重仍坚持作画，先后为黄居素、吴鸣创作书画并题诗题跋,自作题跋,不详,,,,,,,
1952 年 (壬辰，八十九岁),浙江杭州,黄宾虹,无,艺术 / 创作,创作《山川卧游图》《耦耕堂遗址》等作品，题跋阐释笔墨、画格理念,自作题跋,不详,,,,,,,
1952 年 (壬辰，八十九岁),浙江杭州,黄宾虹,李济深,艺术 / 创作,秋季应李济深嘱托创作《夔门秋色图》，当场题写长篇款识,王伯敏《黄宾虹题跋选》序,不详,,,,,,,
1952 年 (壬辰，八十九岁),浙江杭州,黄宾虹,陆丹林,书信 / 问候,冬季收到陆丹林来信，互通近况，谈及多位友人行踪与故去消息,往来书信,不详,,,,,,,
1952 年 (壬辰，八十九岁),浙江杭州,黄宾虹,郑轶甫,社交 / 交往,冬季与同住栖霞岭的郑轶甫朝夕相处，赏画论山，并作画相赠,自作题跋,不详,,,,,,,
1952 年 (壬辰，八十九岁),浙江杭州,黄宾虹,夏承焘,闲谈 / 交流,12 月 4 日夏承焘来访，二人谈论历代画家轶事与古画,《夏承焘集・天风阁学词日记》,不详,,,,,,,
1952 年 (壬辰，八十九岁),浙江杭州,黄宾虹,潘开沛,艺术 / 创作,12 月 9 日为教育家潘开沛绘制《梅竹图》，题写即景诗句,自作题跋,不详,,,,,,,
1952 年 (壬辰，八十九岁),浙江杭州,黄宾虹,各界代表,会议 / 公职,12 月 16 日至 25 日出席浙江省第二届各界人民代表大会，当选特邀代表,1952 年 12 月 17 日《浙江日报》,不详,,,,,,,
1952 年 (壬辰，八十九岁),浙江杭州,黄宾虹,谭启龙,建言 / 求助,省代会期间阐述整理艺术文稿的想法，获谭启龙省长支持，应允派人协助,往来书信,不详,,,,,,,
1952 年 (壬辰，八十九岁),浙江杭州,黄宾虹,王伯敏,事务 / 协助,请求调派王伯敏协助自己口述、抄写艺术研究资料,存考资料,不详,,,,,,,
1952 年 (壬辰，八十九岁),浙江杭州,黄宾虹,白蕉,艺术 / 酬答,12 月白蕉为其治印，黄宾虹作画答谢,往来书信,不详,,,,,,,
1952 年 (壬辰，八十九岁),浙江杭州,黄宾虹,郑轶甫、吴鸣,艺术 / 创作,冬季分别为郑轶甫创作山水小帧、为吴鸣创作山水长卷并题跋,自作题跋,不详,,,,,,,
1952 年 (壬辰，八十九岁),浙江杭州,黄宾虹,陈景昭,艺术 / 创作,为陈景昭创作设色山水，题跋梳理汉魏至清代画学流变,自作题跋,不详,,,,,,,
1952 年 (壬辰，八十九岁),浙江杭州,黄宾虹,刘景昭,艺术 / 创作,本年作画并题诗，为刘景昭庆贺寿辰,自作题跋,不详,,,,,,,
1953 年 (癸巳，九十岁),浙江杭州,黄宾虹,黄居素,书信 / 谈艺,春季致信黄居素，受文艺政策鼓舞计划改变画风，整理旧稿撰写文稿,往来书信,不详,,,,,,,
1953 年 (癸巳，九十岁),浙江杭州,黄宾虹,徐悲鸿,书信 / 交流,2 月 7 日收到徐悲鸿来信，附储南强藏品目录，二人交流文物、书画相关事宜,往来书信,不详,,,,,,,
1953 年 (癸巳，九十岁),浙江杭州,黄宾虹,谭启龙、赖少其等,庆典 / 授奖,2 月 28 日华东文艺界联合举办九十寿辰庆祝会，被授予 “中国人民优秀画家” 奖状，现场展出作品与藏品,1953 年 3 月 5 日《解放日报》,不详,,,,,,,
1953 年 (癸巳，九十岁),浙江杭州,黄宾虹,夏承焘,琐事 / 失窃,3 月 1 日夏承焘来访，谈及家中画作、通信簿被冯姓之人盗取一事,《夏承焘集・天风阁学词日记》,不详,,,,,,,
1953 年 (癸巳，九十岁),浙江杭州,无,任职 / 公务,3 月中央美术学院民族美术研究所成立，受聘为首任所长,原文文档,不详,,,,,,,,
